"Table  download from NOAA Fisheries ShoreZone mapping website, Fri Aug 09 2024"
"ShoreZone Unit"

Selection Criteria:

"PHY_IDENT","HabClass","BC_CLASS","EXP_BIO","SHORETYPE","ESI","ORI","TRSH","DUGR","SPZO","BLLI","YELI","BARN","BLMU","GRAL","BRAL","REAL","EELG","ALAR","SOBK","DABK","ROCK","DRKE","BUKE","CMECS_1","CMECS_2","LENGTH_M","Slope_calc","Wave_Dissipation","Orient_dir","Tidal_height","CVI_Rank"
"04/01/0420/I","31","3","SE","3","8D","5","","","","M","","P","","","","","","","C","","C","","","S1.1","S1.2.1.2.1","65.263","15","Plunging","W","5.38","Low"
"04/01/0420/J","31","3","SE","3","5","5","","","","M","","P","","P","","","","","C","","C","","","S1.1","S1.2.1.2.1","72.63","9","Plunging","W","5.38","Low"
"04/01/0421/A","31","3","SE","3","5","4","","C","","","","","","P","","","","","C","","C","","","S1.1","S1.2.1.2.1","68.319","8","Plunging","NW","5.38","Low"
"04/01/0421/B","31","6","SE","6","5","4","","","","M","","","","C","","","","","C","","","","","S1.2.1.2.1","","59.884","9","Plunging","NW","5.38","Low"
"04/01/0422/A","40","1","SP","1","1A","2","","","","M","","","","","","","","","C","","C","C","","S1.1","","217.215","31","Collapsing","NW","5.38","Low"
"04/01/0422/B","40","3","SP","3","5","4","","","","M","","C","","","","","","","C","","C","","","S1.1","S1.2.1.2.1","212.516","17","Plunging","NW","5.38","Low"
"04/01/0428/A","40","6","SP","6","5","4","","C","","","","","","C","","","","","C","","","","","S1.2.1.2.1","","98.061","7","Plunging","N","5.38","Low"
"04/01/0428/B","40","2","SP","2","1C","4","","","","M","","P","","","","","","","C","","C","","","S1.1","S1.2.1.1","39.952","28","Collapsing","N","5.38","Low"
"04/01/0428/C","40","2","SP","2","8D","4","","","","M","","P","","P","","","","","C","","C","","","S1.1","S1.2.1.1","80.644","21","Plunging","SW","5.38","Low"
"04/01/0429/A","41","6","SP","6","5","5","","C","","M","","C","","P","","","","","C","","C","","","S1.2.1.2.1","","51.069","6","Spilling","S","5.38","Low"
"04/01/0429/B","41","6","SP","6","5","5","","P","M","","","","","","","","","","C","","C","","","S1.2.1.2.1","","45.333","8","Plunging","SW","5.38","Low"
"04/01/0430/A","40","6","SP","6","8C","5","","","","M","","C","","C","","","","","C","","C","","","S1.2.1.2.1","","291.253","17","Plunging","W","5.38","Low"
"04/01/0430/B","40","12","SP","12","8C","5","","","","M","","C","","","","","","","C","","C","","","S3","","193.16","42","Collapsing","W","5.38","Low"
"04/01/0431/A","41","12","SP","12","8C","5","","","","M","","P","","","","","","","C","","C","","","S3","","110.399","31","Plunging","NW","5.38","Low"
"04/01/0431/B","41","12","SP","12","8C","5","","","","N","","C","","","","","","","C","","C","","","S3","","102.052","26","Plunging","SE","5.38","Low"
"04/01/0432/A","51","12","P","12","9A","5","","","","N","","","","P","","","","","","","C","","","S3","","439.461","22","Plunging","SW","5.38","Low"
"04/01/0433/A","40","12","SP","12","8C","5","","","","M","","C","","C","","","","","C","","C","","","S3","","157.289","42","Collapsing","W","5.38","Low"
"04/01/0434/A","51","12","P","12","8C","5","","","","N","","C","","C","","","","","C","","C","","","S3","","156.363","42","Plunging","E","5.38","Low"
"04/01/0434/B","51","3","P","3","8A","5","","","","M","","","","C","","","P","","P","","C","","","S1.1","S1.2.1.2.1","85.111","11","Plunging","SE","5.38","Low"
"04/01/0435/A","51","6","P","6","9A","5","","","","N","","","","C","","","C","","P","","C","","","S1.2.1.2.1","","116.933","17","Plunging","W","5.38","Low"
